car,corner,stint,C,age,grip,lt
VER,4,2,2,7.0,1.627109063609671,97.722
VER,5,2,2,7.0,1.7153715331397381,97.722
VER,6,2,2,7.0,0.6855347047156783,97.722
VER,7,2,2,7.0,1.7311557754212894,97.722
VER,8,2,2,7.0,1.1761031410040659,97.722
VER,9,2,2,7.0,1.1761031410040659,97.722
VER,10,2,2,7.0,1.0864019878004392,97.722
VER,0,2,2,8.0,2.2268994659137435,97.714
VER,1,2,2,8.0,2.2997503994460704,97.714
VER,2,2,2,8.0,2.7089228408218564,97.714
VER,3,2,2,8.0,2.687299042391994,97.714
VER,4,2,2,8.0,2.701900097486919,97.714
VER,5,2,2,8.0,1.2055051477907708,97.714
VER,6,2,2,8.0,1.0645099927137192,97.714
VER,7,2,2,8.0,2.098953927433927,97.714
VER,8,2,2,8.0,2.576000729690026,97.714
VER,9,2,2,8.0,2.576000729690026,97.714
VER,10,2,2,8.0,1.2483000925054657,97.714
VER,0,2,2,9.0,3.0721804671161324,97.946
VER,1,2,2,9.0,2.1910529668173764,97.946
VER,2,2,2,9.0,2.3919608815151387,97.946
VER,3,2,2,9.0,1.5672449853609869,97.946
VER,4,2,2,9.0,2.0956570145534315,97.946
VER,5,2,2,9.0,1.447956688310777,97.946
VER,6,2,2,9.0,1.0154205251448918,97.946
VER,7,2,2,9.0,1.7334957898362275,97.946
VER,8,2,2,9.0,1.1732475821198969,97.946
VER,9,2,2,9.0,1.1732475821198969,97.946
VER,10,2,2,9.0,1.7371751011177887,97.946
VER,0,2,2,10.0,2.8459357665207565,97.903
VER,1,2,2,10.0,1.4425617056836946,97.903
VER,2,2,2,10.0,2.1648255140203436,97.903
VER,3,2,2,10.0,1.9543169254994566,97.903
VER,4,2,2,10.0,2.8664476637019902,97.903
VER,5,2,2,10.0,1.433774113543638,97.903
VER,6,2,2,10.0,1.029611372033271,97.903
VER,7,2,2,10.0,2.075111543340844,97.903
VER,8,2,2,10.0,1.290294721973736,97.903
VER,9,2,2,10.0,1.290294721973736,97.903
VER,10,2,2,10.0,1.7106168393644803,97.903
VER,0,2,2,11.0,2.405507058364481,97.865
VER,1,2,2,11.0,2.085199934280168,97.865
VER,2,2,2,11.0,2.3131116350884366,97.865
VER,3,2,2,11.0,1.6242415149835339,97.865
VER,4,2,2,11.0,2.0076435364660274,97.865
VER,5,2,2,11.0,1.3898039612431627,97.865
VER,6,2,2,11.0,0.825925739726168,97.865
VER,7,2,2,11.0,1.4166620086847035,97.865
VER,8,2,2,11.0,1.2352844240324008,97.865
VER,9,2,2,11.0,1.2352844240324008,97.865
VER,10,2,2,11.0,1.6078607746772244,97.865
VER,0,2,2,12.0,2.0706741417721846,97.558
VER,1,2,2,12.0,1.6344795538463242,97.558
VER,2,2,2,12.0,1.9574469882903671,97.558
VER,3,2,2,12.0,1.954887930591569,97.558
VER,4,2,2,12.0,2.2591659003396916,97.558
VER,5,2,2,12.0,1.4365106388976043,97.558
VER,6,2,2,12.0,0.8245548234513645,97.558
VER,7,2,2,12.0,1.9355145024153466,97.558
